,ParentCountry,ChildCountry,Variant,cantidad_de_movimientos
215,PERU,UNITED STATES OF AMERICA,Omicron XBB.2.6,544
275,UNITED STATES OF AMERICA,PERU,Omicron XBB.2.6,346
160,PERU,CHILE,Omicron XBB.2.6,259
158,PERU,CHILE,Lambda C.37,182
213,PERU,UNITED STATES OF AMERICA,Lambda C.37,132
212,PERU,UNITED STATES OF AMERICA,Gamma P.1.12,109
55,CHILE,PERU,Omicron XBB.2.6,109
272,UNITED STATES OF AMERICA,PERU,Gamma P.1.12,76
214,PERU,UNITED STATES OF AMERICA,Omicron DJ.1,44
165,PERU,COSTA RICA,Omicron XBB.2.6,44
156,PERU,CANADA,Omicron XBB.2.6,41
54,CHILE,PERU,Lambda C.37,40
169,PERU,ECUADOR,Omicron XBB.2.6,38
168,PERU,ECUADOR,Lambda C.37,37
13,ARGENTINA,UNITED STATES OF AMERICA,Lambda C.37,29
171,PERU,ENGLAND,Omicron XBB.2.6,27
72,COSTA RICA,PERU,Omicron XBB.2.6,27
209,PERU,SPAIN,Omicron XBB.2.6,25
31,CANADA,PERU,Omicron XBB.2.6,25
185,PERU,MEXICO,Omicron XBB.2.6,24
193,PERU,OTHER EUROPE,Omicron XBB.2.6,23
157,PERU,CHILE,Gamma P.1.12,23
273,UNITED STATES OF AMERICA,PERU,Lambda C.37,22
173,PERU,FRANCE,Omicron XBB.2.6,22
95,ENGLAND,PERU,Omicron XBB.2.6,19
150,PERU,BRAZIL,Gamma P.1.12,18
189,PERU,OTHER ASIA,Omicron XBB.2.6,18
153,PERU,BRAZIL,Omicron XBB.2.6,17
159,PERU,CHILE,Omicron DJ.1,17
207,PERU,SPAIN,Lambda C.37,16
90,ECUADOR,UNITED STATES OF AMERICA,Lambda C.37,16
97,FRANCE,PERU,Omicron XBB.2.6,16
105,INDIA,PERU,Omicron XBB.2.6,16
184,PERU,MEXICO,Lambda C.37,16
146,PERU,ARGENTINA,Omicron XBB.2.6,16
177,PERU,INDIA,Omicron XBB.2.6,15
53,CHILE,PERU,Gamma P.1.12,14
274,UNITED STATES OF AMERICA,PERU,Omicron DJ.1,14
11,ARGENTINA,SPAIN,Lambda C.37,14
250,UNITED STATES OF AMERICA,COLOMBIA,Lambda C.37,14
145,PERU,ARGENTINA,Lambda C.37,13
254,UNITED STATES OF AMERICA,ECUADOR,Lambda C.37,13
190,PERU,OTHER EUROPE,Gamma P.1.12,12
68,COLOMBIA,UNITED STATES OF AMERICA,Lambda C.37,12
119,MEXICO,UNITED STATES OF AMERICA,Lambda C.37,12
23,BRAZIL,PERU,Gamma P.1.12,11
238,UNITED STATES OF AMERICA,ARGENTINA,Lambda C.37,11
228,SPAIN,PERU,Omicron XBB.2.6,11
88,ECUADOR,PERU,Omicron XBB.2.6,10
121,OTHER ASIA,PERU,Omicron XBB.2.6,10
147,PERU,AUSTRALIA,Omicron XBB.2.6,10
155,PERU,CANADA,Omicron DJ.1,10
235,SWEDEN,UNITED STATES OF AMERICA,Omicron DJ.1,10
1,ARGENTINA,CHILE,Lambda C.37,9
232,SWEDEN,DENMARK,Omicron DJ.1,9
57,CHILE,UNITED STATES OF AMERICA,Lambda C.37,9
14,AUSTRALIA,PERU,Omicron XBB.2.6,9
204,PERU,OTHER SOUTH AMERICA,Omicron XBB.2.6,9
17,BOLIVIA,PERU,Omicron XBB.2.6,9
162,PERU,COLOMBIA,Lambda C.37,9
234,SWEDEN,OTHER EUROPE,Omicron DJ.1,8
107,ISRAEL,SPAIN,Lambda C.37,8
205,PERU,PANAMA,Lambda C.37,8
174,PERU,GERMANY,Lambda C.37,8
130,OTHER EUROPE,PERU,Omicron XBB.2.6,8
176,PERU,GERMANY,Omicron XBB.2.6,8
10,ARGENTINA,PERU,Omicron XBB.2.6,8
149,PERU,BOLIVIA,Omicron XBB.2.6,8
118,MEXICO,PERU,Omicron XBB.2.6,8
248,UNITED STATES OF AMERICA,CHILE,Omicron XBB.2.6,7
178,PERU,ITALY,Gamma P.1.12,7
197,PERU,OTHER NORTH AMERICA,Omicron XBB.2.6,7
183,PERU,MEXICO,Gamma P.1.12,7
244,UNITED STATES OF AMERICA,CANADA,Omicron XBB.2.6,7
182,PERU,KINGDOM OF THE NETHERLANDS,Omicron XBB.2.6,6
151,PERU,BRAZIL,Lambda C.37,6
129,OTHER EUROPE,PERU,Gamma P.1.12,6
26,BRAZIL,PERU,Omicron XBB.2.6,6
21,BRAZIL,COLOMBIA,Omicron DJ.1,6
89,ECUADOR,SPAIN,Lambda C.37,6
192,PERU,OTHER EUROPE,Omicron DJ.1,6
233,SWEDEN,GERMANY,Omicron DJ.1,6
245,UNITED STATES OF AMERICA,CHILE,Gamma P.1.12,6
59,CHILE,UNITED STATES OF AMERICA,Omicron XBB.2.6,6
34,CANADA,UNITED STATES OF AMERICA,Omicron XBB.2.6,5
227,SPAIN,PERU,Lambda C.37,5
5,ARGENTINA,OTHER EUROPE,Lambda C.37,5
36,CHILE,ARGENTINA,Lambda C.37,5
222,SPAIN,FRANCE,Lambda C.37,5
263,UNITED STATES OF AMERICA,MEXICO,Omicron XBB.2.6,5
74,COSTA RICA,UNITED STATES OF AMERICA,Omicron XBB.2.6,5
62,COLOMBIA,ECUADOR,Lambda C.37,5
92,EL SALVADOR,UNITED STATES OF AMERICA,Lambda C.37,5
201,PERU,OTHER SOUTH AMERICA,Gamma P.1.12,5
202,PERU,OTHER SOUTH AMERICA,Lambda C.37,5
246,UNITED STATES OF AMERICA,CHILE,Lambda C.37,5
206,PERU,PANAMA,Omicron XBB.2.6,5
108,ITALY,PERU,Gamma P.1.12,5
180,PERU,ITALY,Omicron XBB.2.6,5
116,MEXICO,PERU,Gamma P.1.12,5
65,COLOMBIA,PERU,Gamma P.1.12,4
179,PERU,ITALY,Lambda C.37,4
154,PERU,CANADA,Lambda C.37,4
262,UNITED STATES OF AMERICA,MEXICO,Lambda C.37,4
249,UNITED STATES OF AMERICA,COLOMBIA,Gamma P.1.12,4
87,ECUADOR,PERU,Lambda C.37,4
279,UNITED STATES OF AMERICA,SPAIN,Lambda C.37,4
281,UNITED STATES OF AMERICA,SPAIN,Omicron XBB.2.6,4
282,UNITED STATES OF AMERICA,SWEDEN,Omicron DJ.1,4
243,UNITED STATES OF AMERICA,CANADA,Omicron DJ.1,4
266,UNITED STATES OF AMERICA,OTHER EUROPE,Omicron DJ.1,4
161,PERU,COLOMBIA,Gamma P.1.12,4
67,COLOMBIA,SPAIN,Lambda C.37,4
208,PERU,SPAIN,Omicron DJ.1,4
3,ARGENTINA,GERMANY,Lambda C.37,3
56,CHILE,UNITED STATES OF AMERICA,Gamma P.1.12,3
39,CHILE,COLOMBIA,Lambda C.37,3
52,CHILE,PANAMA,Lambda C.37,3
51,CHILE,OTHER SOUTH AMERICA,Lambda C.37,3
247,UNITED STATES OF AMERICA,CHILE,Omicron DJ.1,3
229,SPAIN,UNITED STATES OF AMERICA,Lambda C.37,3
264,UNITED STATES OF AMERICA,OTHER EUROPE,Gamma P.1.12,3
251,UNITED STATES OF AMERICA,COLOMBIA,Omicron DJ.1,3
194,PERU,OTHER NORTH AMERICA,Gamma P.1.12,3
78,DENMARK,SWEDEN,Omicron DJ.1,3
221,SPAIN,ECUADOR,Lambda C.37,3
172,PERU,FRANCE,Lambda C.37,3
25,BRAZIL,PERU,Omicron DJ.1,3
220,SPAIN,CHILE,Lambda C.37,3
265,UNITED STATES OF AMERICA,OTHER EUROPE,Lambda C.37,3
268,UNITED STATES OF AMERICA,OTHER NORTH AMERICA,Omicron DJ.1,3
152,PERU,BRAZIL,Omicron DJ.1,3
144,PANAMA,UNITED STATES OF AMERICA,Lambda C.37,3
164,PERU,COSTA RICA,Lambda C.37,3
132,OTHER EUROPE,UNITED STATES OF AMERICA,Gamma P.1.12,3
148,PERU,BELGIUM,Omicron DJ.1,3
255,UNITED STATES OF AMERICA,ECUADOR,Omicron XBB.2.6,3
30,CANADA,PERU,Lambda C.37,3
196,PERU,OTHER NORTH AMERICA,Omicron DJ.1,3
276,UNITED STATES OF AMERICA,PUERTO RICO,Lambda C.37,3
163,PERU,COLOMBIA,Omicron DJ.1,3
237,SWITZERLAND,FRANCE,Lambda C.37,2
242,UNITED STATES OF AMERICA,CANADA,Lambda C.37,2
41,CHILE,ECUADOR,Lambda C.37,2
4,ARGENTINA,MEXICO,Lambda C.37,2
48,CHILE,OTHER EUROPE,Lambda C.37,2
231,SWEDEN,CANADA,Omicron DJ.1,2
58,CHILE,UNITED STATES OF AMERICA,Omicron DJ.1,2
35,CANARY ISLANDS,UNITED STATES OF AMERICA,Lambda C.37,2
66,COLOMBIA,PUERTO RICO,Lambda C.37,2
71,COSTA RICA,OTHER NORTH AMERICA,Lambda C.37,2
73,COSTA RICA,UNITED STATES OF AMERICA,Lambda C.37,2
210,PERU,SWEDEN,Omicron DJ.1,2
191,PERU,OTHER EUROPE,Lambda C.37,2
115,MEXICO,OTHER EUROPE,Lambda C.37,2
199,PERU,OTHER OCEANIA,Omicron DJ.1,2
123,OTHER EUROPE,BELGIUM,Omicron DJ.1,2
200,PERU,OTHER OCEANIA,Omicron XBB.2.6,2
104,GERMANY,SPAIN,Lambda C.37,2
106,INDIA,UNITED STATES OF AMERICA,Omicron XBB.2.6,2
79,DENMARK,UNITED STATES OF AMERICA,Omicron DJ.1,2
103,GERMANY,PERU,Omicron DJ.1,2
211,PERU,SWITZERLAND,Lambda C.37,2
61,COLOMBIA,CHILE,Lambda C.37,2
64,COLOMBIA,PANAMA,Lambda C.37,2
27,BRAZIL,UNITED STATES OF AMERICA,Omicron DJ.1,2
91,EL SALVADOR,OTHER NORTH AMERICA,Lambda C.37,2
81,ECUADOR,BRAZIL,Lambda C.37,2
80,ECUADOR,BOLIVIA,Omicron XBB.2.6,2
216,PUERTO RICO,UNITED STATES OF AMERICA,Lambda C.37,2
218,SPAIN,ARGENTINA,Lambda C.37,2
181,PERU,JAPAN,Omicron DJ.1,2
187,PERU,OTHER ASIA,Lambda C.37,2
137,OTHER NORTH AMERICA,PERU,Omicron XBB.2.6,2
139,OTHER SOUTH AMERICA,CHILE,Lambda C.37,2
140,OTHER SOUTH AMERICA,PERU,Gamma P.1.12,2
136,OTHER NORTH AMERICA,PERU,Omicron DJ.1,2
142,PANAMA,CHILE,Lambda C.37,2
126,OTHER EUROPE,CHILE,Lambda C.37,2
0,ARGENTINA,BRAZIL,Lambda C.37,2
253,UNITED STATES OF AMERICA,COSTA RICA,Omicron XBB.2.6,2
15,AUSTRALIA,UNITED STATES OF AMERICA,Omicron XBB.2.6,2
257,UNITED STATES OF AMERICA,GERMANY,Omicron DJ.1,2
12,ARGENTINA,SWITZERLAND,Lambda C.37,2
9,ARGENTINA,PERU,Lambda C.37,2
8,ARGENTINA,PANAMA,Lambda C.37,1
16,BELGIUM,OTHER EUROPE,Omicron DJ.1,1
258,UNITED STATES OF AMERICA,GERMANY,Omicron XBB.2.6,1
259,UNITED STATES OF AMERICA,INDIA,Omicron XBB.2.6,1
260,UNITED STATES OF AMERICA,ISRAEL,Lambda C.37,1
261,UNITED STATES OF AMERICA,MEXICO,Gamma P.1.12,1
252,UNITED STATES OF AMERICA,COSTA RICA,Lambda C.37,1
256,UNITED STATES OF AMERICA,FRANCE,Lambda C.37,1
277,UNITED STATES OF AMERICA,SAINT KITTS AND NEVIS,Lambda C.37,1
278,UNITED STATES OF AMERICA,SINT MAARTEN,Lambda C.37,1
7,ARGENTINA,OTHER SOUTH AMERICA,Lambda C.37,1
166,PERU,CZECHIA,Lambda C.37,1
167,PERU,DENMARK,Omicron DJ.1,1
170,PERU,EL SALVADOR,Lambda C.37,1
175,PERU,GERMANY,Omicron DJ.1,1
141,OTHER SOUTH AMERICA,UNITED STATES OF AMERICA,Lambda C.37,1
143,PANAMA,COSTA RICA,Lambda C.37,1
125,OTHER EUROPE,CANADA,Omicron DJ.1,1
127,OTHER EUROPE,MEXICO,Lambda C.37,1
128,OTHER EUROPE,OTHER SOUTH AMERICA,Gamma P.1.12,1
131,OTHER EUROPE,SWEDEN,Omicron DJ.1,1
133,OTHER EUROPE,UNITED STATES OF AMERICA,Lambda C.37,1
134,OTHER EUROPE,UNITED STATES OF AMERICA,Omicron DJ.1,1
135,OTHER NORTH AMERICA,BRAZIL,Lambda C.37,1
138,OTHER NORTH AMERICA,UNITED STATES OF AMERICA,Omicron DJ.1,1
186,PERU,OTHER ASIA,Gamma P.1.12,1
188,PERU,OTHER ASIA,Omicron DJ.1,1
195,PERU,OTHER NORTH AMERICA,Lambda C.37,1
109,JAPAN,OTHER SOUTH AMERICA,Omicron DJ.1,1
110,JAPAN,UNITED STATES OF AMERICA,Omicron DJ.1,1
111,MEXICO,ARGENTINA,Lambda C.37,1
112,MEXICO,ENGLAND,Omicron XBB.2.6,1
113,MEXICO,ISRAEL,Lambda C.37,1
114,MEXICO,ITALY,Gamma P.1.12,1
117,MEXICO,PERU,Lambda C.37,1
120,OTHER ASIA,PERU,Omicron DJ.1,1
122,OTHER ASIA,UNITED STATES OF AMERICA,Omicron XBB.2.6,1
124,OTHER EUROPE,BRAZIL,Gamma P.1.12,1
198,PERU,OTHER OCEANIA,Lambda C.37,1
203,PERU,OTHER SOUTH AMERICA,Omicron DJ.1,1
18,BOLIVIA,UNITED STATES OF AMERICA,Omicron XBB.2.6,1
19,BRAZIL,CHILE,Gamma P.1.12,1
93,ENGLAND,CHILE,Omicron XBB.2.6,1
94,ENGLAND,FRANCE,Omicron XBB.2.6,1
96,FRANCE,ECUADOR,Lambda C.37,1
98,FRANCE,SPAIN,Lambda C.37,1
99,FRANCE,SWITZERLAND,Lambda C.37,1
100,FRANCE,UNITED STATES OF AMERICA,Lambda C.37,1
101,FRANCE,UNITED STATES OF AMERICA,Omicron XBB.2.6,1
102,GERMANY,ARGENTINA,Lambda C.37,1
77,DENMARK,PERU,Omicron DJ.1,1
82,ECUADOR,CHILE,Lambda C.37,1
83,ECUADOR,COLOMBIA,Lambda C.37,1
84,ECUADOR,FRANCE,Lambda C.37,1
85,ECUADOR,ITALY,Lambda C.37,1
86,ECUADOR,PANAMA,Lambda C.37,1
20,BRAZIL,CHILE,Omicron DJ.1,1
22,BRAZIL,GERMANY,Omicron DJ.1,1
24,BRAZIL,PERU,Lambda C.37,1
28,CANADA,CHILE,Omicron XBB.2.6,1
29,CANADA,OTHER EUROPE,Omicron DJ.1,1
32,CANADA,UNITED STATES OF AMERICA,Lambda C.37,1
60,COLOMBIA,CANADA,Lambda C.37,1
63,COLOMBIA,MEXICO,Lambda C.37,1
69,COLOMBIA,UNITED STATES OF AMERICA,Omicron DJ.1,1
70,COSTA RICA,INDIA,Omicron XBB.2.6,1
75,DENMARK,CANADA,Omicron DJ.1,1
76,DENMARK,OTHER EUROPE,Omicron DJ.1,1
217,SINT MAARTEN,SAINT KITTS AND NEVIS,Lambda C.37,1
219,SPAIN,CANARY ISLANDS,Lambda C.37,1
223,SPAIN,ITALY,Lambda C.37,1
224,SPAIN,MEXICO,Lambda C.37,1
225,SPAIN,OTHER AFRICA,Lambda C.37,1
226,SPAIN,OTHER EUROPE,Omicron DJ.1,1
230,SPAIN,UNITED STATES OF AMERICA,Omicron DJ.1,1
42,CHILE,ENGLAND,Omicron XBB.2.6,1
43,CHILE,FRANCE,Lambda C.37,1
44,CHILE,GERMANY,Lambda C.37,1
45,CHILE,MEXICO,Lambda C.37,1
46,CHILE,MEXICO,Omicron XBB.2.6,1
47,CHILE,OTHER ASIA,Lambda C.37,1
49,CHILE,OTHER NORTH AMERICA,Lambda C.37,1
50,CHILE,OTHER NORTH AMERICA,Omicron DJ.1,1
267,UNITED STATES OF AMERICA,OTHER EUROPE,Omicron XBB.2.6,1
269,UNITED STATES OF AMERICA,OTHER NORTH AMERICA,Omicron XBB.2.6,1
270,UNITED STATES OF AMERICA,OTHER SOUTH AMERICA,Lambda C.37,1
271,UNITED STATES OF AMERICA,OTHER SOUTH AMERICA,Omicron XBB.2.6,1
33,CANADA,UNITED STATES OF AMERICA,Omicron DJ.1,1
37,CHILE,ARGENTINA,Omicron XBB.2.6,1
38,CHILE,BRAZIL,Gamma P.1.12,1
40,CHILE,COSTA RICA,Lambda C.37,1
236,SWITZERLAND,ARGENTINA,Lambda C.37,1
239,UNITED STATES OF AMERICA,ARGENTINA,Omicron XBB.2.6,1
240,UNITED STATES OF AMERICA,BELGIUM,Omicron DJ.1,1
241,UNITED STATES OF AMERICA,BOLIVIA,Omicron XBB.2.6,1
280,UNITED STATES OF AMERICA,SPAIN,Omicron DJ.1,1
6,ARGENTINA,OTHER NORTH AMERICA,Lambda C.37,1
2,ARGENTINA,CHILE,Omicron XBB.2.6,1
